pkg_name,version_ra,version_snellius
absl-py,2.1.0,2.1.0
aiohttp,3.9.5,3.8.5
aiosignal,1.3.1,1.3.1
alembic,1.13.1,1.13.2
annotated-types,0.7.0,0.7.0
astunparse,1.6.3,1.6.3
async-timeout,4.0.3,4.0.2
attrs,23.2.0,23.1.0
Babel,2.15.0,2.12.1
bottle,0.12.25,0.12.25
certifi,2024.6.2,2023.5.7
cffi,1.16.0,1.15.1
charset-normalizer,3.3.2,3.1.0
click,8.1.7,8.1.3
cloudpickle,3.0.0,2.2.1
colorama,0.4.6,0.4.6
colorlog,6.8.2,6.8.2
contourpy,1.2.1,1.2.1
cycler,0.12.1,0.12.1
dask,2024.5.2,2024.7.0
decorator,5.1.1,5.1.1
et-xmlfile,1.1.0,1.1.0
exceptiongroup,1.2.1,1.1.1
filelock,3.14.0,3.12.2
flatbuffers,24.3.25,24.3.25
fonttools,4.53.0,4.53.1
frozenlist,1.4.1,1.4.0
fsspec,2024.6.0,2023.6.0
future,1.0.0,0.18.3
gast,0.5.4,0.5.4
google-pasta,0.2.0,0.2.0
graphviz,0.20.3,0.20.3
greenlet,3.0.3,3.0.3
grpcio,1.64.1,1.64.1
h5py,3.11.0,3.11.0
idna,3.7,3.4
imageio,2.34.1,2.34.2
Jinja2,3.1.4,3.1.2
joblib,1.4.2,1.2.0
jsonschema,4.22.0,4.17.3
keras,3.3.3,3.4.1
kiwisolver,1.4.5,1.4.5
lazy_loader,0.4,0.4
libclang,18.1.1,18.1.1
llvmlite,0.42.0,0.41.1
locket,1.0.0,1.0.0
Mako,1.3.5,1.3.5
Markdown,3.6,3.6
markdown-it-py,3.0.0,3.0.0
MarkupSafe,2.1.5,2.1.3
matplotlib,3.9.0,3.9.1
mdurl,0.1.2,0.1.2
ml-dtypes,0.3.2,0.3.2
mpmath,1.3.0,1.3.0
multidict,6.0.5,6.0.4
namex,0.0.8,0.0.8
networkx,3.3,3.1
numba,0.59.1,0.58.1
numpy,1.26.4,1.25.1
openpyxl,3.1.3,3.1.5
opt-einsum,3.3.0,3.3.0
optree,0.11.0,0.12.1
optuna,3.6.1,3.6.1
optuna-dashboard,0.15.1,0.15.1
packaging,24.1,23.1
pandas,2.2.2,2.0.3
partd,1.4.2,1.4.2
patsy,0.5.6,0.5.6
platformdirs,4.2.2,3.8.0
plotly,5.22.0,5.16.0
polars,0.20.31,1.1.0
protobuf,4.25.3,4.24.0
psutil,5.9.8,5.9.5
pyarrow,16.1.0,16.1.0
pycparser,2.22,2.21
pydantic,2.7.3,2.8.2
pydantic_core,2.18.4,2.20.1
Pygments,2.18.0,2.15.1
pyparsing,3.1.2,3.1.0
pyreadstat,1.2.7,1.2.7
python-dateutil,2.9.0.post0,2.8.2
pytz,2024.1,2023.3
PyYAML,6.0.1,6.0
requests,2.32.3,2.31.0
rich,13.7.1,13.4.2
scikit-image,0.23.2,0.24.0
scikit-learn,1.5.0,1.3.1
scipy,1.13.1,1.11.1
seaborn,0.13.2,0.13.2
shellingham,1.5.4,1.5.0
six,1.16.0,1.16.0
SQLAlchemy,2.0.30,2.0.31
statsmodels,0.14.2,0.14.1
sympy,1.12.1,1.12
tabulate,0.9.0,0.9.0
tenacity,8.3.0,8.2.3
tensorboard,2.16.2,2.16.2
tensorboard-data-server,0.7.2,0.7.2
tensorflow,2.16.1,2.16.2
tensorflow-io-gcs-filesystem,0.31.0,0.37.1
termcolor,2.4.0,2.4.0
threadpoolctl,3.5.0,3.1.0
tifffile,2024.5.22,2024.7.2
tomli,2.0.1,2.0.1
toolz,0.12.1,0.12.1
torch,2.3.1,2.1.2
torch_geometric,2.5.3,2.5.3
tqdm,4.66.4,4.66.1
typing_extensions,4.12.2,4.12.2
tzdata,2024.1,2023.3
ujson,5.10.0,5.8.0
urllib3,2.2.1,1.26.16
wcwidth,0.2.13,0.2.6
webencodings,0.5.1,0.5.1
Werkzeug,3.0.3,3.0.3
wrapt,1.16.0,1.16.0
xarray,2024.5.0,2024.6.0
yarl,1.9.4,1.9.2
zipp,3.19.2,3.15.0
